FILENAME,IDENTITY
सक्नेछ.png,सक्नेछ
(Trends).png,(Trends)
सन्.png,सन्
औपचारिक.png,औपचारिक
तैपनि.png,तैपनि
उपयुक्तता.png,उपयुक्तता
प्रयोग.png,प्रयोग
अनुसन्धानकर्ताले.png,अनुसन्धानकर्ताले
मानिएको.png,मानिएको
सांखिक.png,सांखिक
तेश्रो.png,तेश्रो
मात्र.png,मात्र
१.png,१
टा.png,टा
६०.png,६०
साथमा.png,साथमा
मूल्यांकनमा.png,मूल्यांकनमा
छु.png,छु
सम्मकै.png,सम्मकै
स्वावलम्बता.png,स्वावलम्बता
सहायता.png,सहायता
डू.png,डू
हेर्दा.png,हेर्दा
झु.png,झु
जहाँ.png,जहाँ
जस्को.png,जस्को
ज्ञं.png,ज्ञं
सारांश.png,सारांश
छिटै.png,छिटै
छे.png,छे
अभाव.png,अभाव
सूचकहरुको.png,सूचकहरुको
अझ.png,अझ
समस्या.png,समस्या
केन्द्र.png,केन्द्र
वास्तविकता.png,वास्तविकता
छू.png,छू
मध्ये.png,मध्ये
ज्ञ.png,ज्ञ
सांसिक.png,सांसिक
शक्ति.png,शक्ति
दिन्छन्.png,दिन्छन्
आउने.png,आउने
स्तर.png,स्तर
बीचमा.png,बीचमा
मुख्यतया.png,मुख्यतया
परिपूर्तिका.png,परिपूर्तिका
थाह.png,थाह
लागि.png,लागि
सहयोग.png,सहयोग
सुक्ष्म.png,सुक्ष्म
टं.png,टं
यं.png,यं
नमिल्ने.png,नमिल्ने
धेरैजसो.png,धेरैजसो
प्रेस.png,प्रेस
दौ.png,दौ
त्रुटिहरू.png,त्रुटिहरू
ये.png,ये
सक्ने.png,सक्ने
उपभोक्ताको.png,उपभोक्ताको
ढ.png,ढ
प्रयास.png,प्रयास
भित्र.png,भित्र
सहयोगी.png,सहयोगी
बारे.png,बारे
के.png,के
गोर्खालीहरुको.png,गोर्खालीहरुको
आशा.png,आशा
जनगणनाले.png,जनगणनाले
योजना.png,योजना
भएकोले.png,भएकोले
अभियान.png,अभियान
छ.png,छ
उत्पादनको.png,उत्पादनको
अभिवादन.png,अभिवादन
तर्फ.png,तर्फ
विभिन्न.png,विभिन्न
सै.png,सै
थः.png,थः
लिंग.png,लिंग
देनहरु.png,देनहरु
नेपालको.png,नेपालको
कं.png,कं
की.png,की
भने.png,भने
यौ.png,यौ
गोविन्द.png,गोविन्द
मा.png,मा
अरु.png,अरु
कुनै.png,कुनै
देखाएको.png,देखाएको
जः.png,जः
आकांक्षा.png,आकांक्षा
ठु.png,ठु
रः.png,रः
४८.png,४८
स्थानीय.png,स्थानीय
है.png,है
थे.png,थे
फु.png,फु
निकायहरूको.png,निकायहरूको
वास्तविक.png,वास्तविक
गरिन्छ.png,गरिन्छ
उचित.png,उचित
बराबर.png,बराबर
पूर्ण.png,पूर्ण
चू.png,चू
चो.png,चो
अलग.png,अलग
गरिदिएकोमा.png,गरिदिएकोमा
सक्षम.png,सक्षम
चुनौतीपूर्ण.png,चुनौतीपूर्ण
व्यक्ति.png,व्यक्ति
९.png,९
भः.png,भः
ति.png,ति
मृत्यु.png,मृत्यु
शौ.png,शौ
षू.png,षू
जाने.png,जाने
तथ्यांकहरू.png,तथ्यांकहरू
सित.png,सित
मू.png,मू
घा.png,घा
धारणालाई.png,धारणालाई
तः.png,तः
छिट्टै.png,छिट्टै
णी.png,णी
वस्तु.png,वस्तु
समूहको.png,समूहको
अपनाउनु .png,अपनाउनु 
बि.png,बि
ज्ञी.png,ज्ञी
ङो.png,ङो
बः.png,बः
शु.png,शु
म.png,म
वृत्ति.png,वृत्ति
व्यवस्थाबाट.png,व्यवस्थाबाट
इ.png,इ
सम्बन्ध.png,सम्बन्ध
चु.png,चु
ष.png,ष
त.png,त
यः.png,यः
प्रदान.png,प्रदान
गरिएका.png,गरिएका
प्रवृचिहरु.png,प्रवृचिहरु
जनसंख्यामा.png,जनसंख्यामा
स्तरहरू.png,स्तरहरू
कारणहरू.png,कारणहरू
वर्णनात्मक.png,वर्णनात्मक
हुनुका.png,हुनुका
छा.png,छा
नेपाली.png,नेपाली
गर्नुको.png,गर्नुको
जम्माजम्मी.png,जम्माजम्मी
जू.png,जू
उत्पादन.png,उत्पादन
योजनाको.png,योजनाको
छौ.png,छौ
पु.png,पु
यो.png,यो
जाँचबुझको.png,जाँचबुझको
एकैसाथ.png,एकैसाथ
विषयक.png,विषयक
धौ.png,धौ
संस्थाहरू.png,संस्थाहरू
टै.png,टै
संख्यामा.png,संख्यामा
तथ्य.png,तथ्य
महायुद्धमा.png,महायुद्धमा
गा.png,गा
जातीय.png,जातीय
कठिन.png,कठिन
नियमित.png,नियमित
ङै.png,ङै
ङू.png,ङू
सुधारहरू.png,सुधारहरू
अहिलेको.png,अहिलेको
जस्तै.png,जस्तै
ब.png,ब
सि.png,सि
शो.png,शो
रुघा-खोकीको.png,रुघा-खोकीको
समिस्तगत.png,समिस्तगत
ठे.png,ठे
फं.png,फं
विशिष्ट.png,विशिष्ट
भनिए.png,भनिए
अध्ययनहरूको.png,अध्ययनहरूको
सुनियोजित.png,सुनियोजित
माध्यम.png,माध्यम
सर्वेक्षणहरुले.png,सर्वेक्षणहरुले
नेपालमा.png,नेपालमा
अझै.png,अझै
अब.png,अब
सो.png,सो
अर्थतन्त्रमा.png,अर्थतन्त्रमा
अर्थ.png,अर्थ
रौ.png,रौ
प्रयासहरूबाट.png,प्रयासहरूबाट
पठाएको.png,पठाएको
महिलाहरूद्वारा.png,महिलाहरूद्वारा
खे.png,खे
परिमाणात्मक.png,परिमाणात्मक
बृहत्.png,बृहत्
उत्पादक.png,उत्पादक
फ.png,फ
अग्रवाल.png,अग्रवाल
६६.png,६६
प्रकृयामा.png,प्रकृयामा
ठोस.png,ठोस
छ।.png,छ।
जनगणना.png,जनगणना
परियो.png,परियो
मापदण्डको.png,मापदण्डको
उ.png,उ
तथ्यांकहरूको.png,तथ्यांकहरूको
खं.png,खं
पे.png,पे
थी.png,थी
 पु-याउनका.png, पु-याउनका
सुधारिएको.png,सुधारिएको
पछिका.png,पछिका
तथ्यहरूको.png,तथ्यहरूको
वू.png,वू
परिप्रेक्षमा.png,परिप्रेक्षमा
हो.png,हो
आवश्यकता.png,आवश्यकता
ज्ञु.png,ज्ञु
डि.png,डि
प्रारम्भिक.png,प्रारम्भिक
किसिमका.png,किसिमका
भौ.png,भौ
प.png,प
बे.png,बे
जि.png,जि
झः.png,झः
शः.png,शः
विशेष.png,विशेष
ठ.png,ठ
ना.png,ना
हं.png,हं
चरणमा.png,चरणमा
गतिविधिमा.png,गतिविधिमा
तत्त्वहरूको.png,तत्त्वहरूको
आभारी.png,आभारी
ज.png,ज
दोषहरूमा.png,दोषहरूमा
केश.png,केश
बजार.png,बजार
भाषामा.png,भाषामा
यू.एस..png,यू.एस.
झैं.png,झैं
सू.png,सू
प्रकोप.png,प्रकोप
सिमित.png,सिमित
अभियानबाट.png,अभियानबाट
सम्पत्तिको.png,सम्पत्तिको
खः.png,खः
भू.png,भू
ढो.png,ढो
उल्लेख.png,उल्लेख
बिक्री.png,बिक्री
मे.png,मे
सम्वत्.png,सम्वत्
जति.png,जति
बढाउने.png,बढाउने
यी.png,यी
चं.png,चं
ज्वरोबाट.png,ज्वरोबाट
छन्.png,छन्
लाई.png,लाई
णि.png,णि
चे.png,चे
अलि.png,अलि
घटेको.png,घटेको
मुख्य.png,मुख्य
यि.png,यि
धो.png,धो
पौ.png,पौ
झो.png,झो
नतिजा.png,नतिजा
वी.png,वी
निर्यातकर्ताको.png,निर्यातकर्ताको
"लहर,.png","लहर,"
मसौदा.png,मसौदा
उपयुक्त.png,उपयुक्त
बारेको.png,बारेको
भेद.png,भेद
आक्रमक.png,आक्रमक
ज्ञः.png,ज्ञः
मान्यताहरुको.png,मान्यताहरुको
झ.png,झ
ढै.png,ढै
निर्देशक.png,निर्देशक
बौ.png,बौ
थप.png,थप
पा.png,पा
६.png,६
भु.png,भु
सफल.png,सफल
पै.png,पै
घू.png,घू
जातिको.png,जातिको
झौ.png,झौ
सौ.png,सौ
पुगेको.png,पुगेको
आठवटा.png,आठवटा
भइ.png,भइ
प्रशस्त.png,प्रशस्त
संशोधन.png,संशोधन
घु.png,घु
फै.png,फै
छि.png,छि
दिन्छन.png,दिन्छन
पू.png,पू
पि.png,पि
अथवा.png,अथवा
तं.png,तं
अध्ययनहरु.png,अध्ययनहरु
न.png,न
१:१.png,१:१
क्षेत्रका.png,क्षेत्रका
आठ.png,आठ
बा.png,बा
सम्भवतः.png,सम्भवतः
कार्य.png,कार्य
एक्कासी.png,एक्कासी
जै.png,जै
शं.png,शं
बढ्दै.png,बढ्दै
भागका.png,भागका
विश्लेषणहरूको.png,विश्लेषणहरूको
सुझाव.png,सुझाव
सरी.png,सरी
प्रस्तुत.png,प्रस्तुत
भे.png,भे
जौ.png,जौ
सरकार.png,सरकार
परिभाषित.png,परिभाषित
संम्वत्.png,संम्वत्
फो.png,फो
पात्र.png,पात्र
डे.png,डे
दं.png,दं
राम.png,राम
पुरा.png,पुरा
आश्चर्य.png,आश्चर्य
उनिहरूको.png,उनिहरूको
अपनाउनु.png,अपनाउनु
त्रं.png,त्रं
संस्करण.png,संस्करण
हालै.png,हालै
प्रतिशत.png,प्रतिशत
अन्तिम.png,अन्तिम
संयुक्त.png,संयुक्त
ध.png,ध
लौ.png,लौ
हू.png,हू
भन्दा.png,भन्दा
तु.png,तु
मानव-शास्त्रीहरूका.png,मानव-शास्त्रीहरूका
ज्ञौ.png,ज्ञौ
उपेक्षा.png,उपेक्षा
रो.png,रो
सञ्चालन.png,सञ्चालन
यस.png,यस
"बेरोजगारी,.png","बेरोजगारी,"
हुँदैन.png,हुँदैन
त्रः.png,त्रः
४.png,४
शू.png,शू
वर्गीकरण.png,वर्गीकरण
दि.png,दि
विकासका.png,विकासका
खपत.png,खपत
सबैभन्दा.png,सबैभन्दा
सामंजस्य.png,सामंजस्य
जनाको.png,जनाको
त्यसो.png,त्यसो
पर्दछ.png,पर्दछ
ञं.png,ञं
उनीहरूको.png,उनीहरूको
व्यवस्था.png,व्यवस्था
स्वास्थ्य.png,स्वास्थ्य
सम्म.png,सम्म
नियोगका.png,नियोगका
प्रत्येक.png,प्रत्येक
क्षं.png,क्षं
खौ.png,खौ
अनुपातमा.png,अनुपातमा
रे.png,रे
मः.png,मः
सामाजिक-आर्थिक.png,सामाजिक-आर्थिक
केही.png,केही
खि.png,खि
ङ.png,ङ
जोड़.png,जोड़
विषयमा.png,विषयमा
बुझ्न.png,बुझ्न
मुलुकमा.png,मुलुकमा
चौ.png,चौ
योजनालाई.png,योजनालाई
ठो.png,ठो
मूल्यांकनका.png,मूल्यांकनका
अनुसन्धान.png,अनुसन्धान
टौ.png,टौ
दै.png,दै
स्थान.png,स्थान
हालसालै.png,हालसालै
वर्गीकरणबाट.png,वर्गीकरणबाट
सामु.png,सामु
दोष.png,दोष
आगामी.png,आगामी
षु.png,षु
गरी.png,गरी
णो.png,णो
हुनेछन्.png,हुनेछन्
खेल्न.png,खेल्न
प्रयोगात्मक.png,प्रयोगात्मक
सकिन्छ.png,सकिन्छ
गाउँभित्रका.png,गाउँभित्रका
सदस्यहरूको.png,सदस्यहरूको
गि.png,गि
दोस्रो.png,दोस्रो
ओ.png,ओ
१०.png,१०
फर्केका.png,फर्केका
खालका.png,खालका
व्यक्तिहरूलाई.png,व्यक्तिहरूलाई
सः.png,सः
कौ.png,कौ
उपलब्ध.png,उपलब्ध
अंश.png,अंश
मसौदाको.png,मसौदाको
हालको.png,हालको
आ.png,आ
वस्तुहरुको.png,वस्तुहरुको
ट.png,ट
निस्सा.png,निस्सा
शिर्षकहरु.png,शिर्षकहरु
त्यही.png,त्यही
लिइने.png,लिइने
समेत.png,समेत
त्री.png,त्री
उपायहरू.png,उपायहरू
फाइदा.png,फाइदा
रू.png,रू
निष्कर्षहरू.png,निष्कर्षहरू
णे.png,णे
प्रशासन.png,प्रशासन
"भूमिका,.png","भूमिका,"
जांचबुझको.png,जांचबुझको
चल्नु.png,चल्नु
हि.png,हि
सन्चालन.png,सन्चालन
दृष्टिबाट.png,दृष्टिबाट
गो.png,गो
अनुपात.png,अनुपात
दी.png,दी
षे.png,षे
राष्ट्रिय.png,राष्ट्रिय
गणना.png,गणना
करिब.png,करिब
बारेमा.png,बारेमा
केहि.png,केहि
अभियानको.png,अभियानको
प्रणालीको.png,प्रणालीको
देखिन्छ.png,देखिन्छ
अवधिमा.png,अवधिमा
क्षेत्रहरुबाट.png,क्षेत्रहरुबाट
मागहरूको.png,मागहरूको
द.png,द
स्थितिमा.png,स्थितिमा
मि.png,मि
तै.png,तै
तुलनात्मक.png,तुलनात्मक
षो.png,षो
माध्यमको.png,माध्यमको
सम्बन्धित.png,सम्बन्धित
गरिने.png,गरिने
यस्तो.png,यस्तो
चः.png,चः
ता.png,ता
थु.png,थु
प्रश्नसूचक.png,प्रश्नसूचक
डः.png,डः
ढू.png,ढू
डो.png,डो
चालु.png,चालु
विधवा.png,विधवा
ज्ञि.png,ज्ञि
अभिलेखालय.png,अभिलेखालय
त्रु.png,त्रु
ग्रामीण.png,ग्रामीण
भयो.png,भयो
ढा.png,ढा
क्षौ.png,क्षौ
अनुसन्धानकर्ताहरूको.png,अनुसन्धानकर्ताहरूको
ठि.png,ठि
तेस्रो.png,तेस्रो
(गाउँ.png,(गाउँ
वटा.png,वटा
निम्ति.png,निम्ति
प्रचूर.png,प्रचूर
झै.png,झै
गर्न.png,गर्न
स्पष्टसित.png,स्पष्टसित
त्यसैगरी.png,त्यसैगरी
राम्ररी.png,राम्ररी
ज्ञू.png,ज्ञू
उत्पादनमा.png,उत्पादनमा
विक्रीयोग्य.png,विक्रीयोग्य
मं.png,मं
जम्मा.png,जम्मा
प्रयोजन.png,प्रयोजन
बढी.png,बढी
जनाइए.png,जनाइए
बै.png,बै
भं.png,भं
बहु-.png,बहु-
प्रभाव.png,प्रभाव
शै.png,शै
लो.png,लो
को.png,को
३.png,३
चा.png,चा
उपलब्धीहरूले.png,उपलब्धीहरूले
स्वास्नीमानिसहरूको.png,स्वास्नीमानिसहरूको
रु.png,रु
ए.png,ए
चेतना.png,चेतना
क्ष.png,क्ष
पहिलो.png,पहिलो
भूमिक.png,भूमिक
भन्ने.png,भन्ने
थै.png,थै
क्षा.png,क्षा
ञू.png,ञू
ढु.png,ढु
दशकमा.png,दशकमा
परिधिका.png,परिधिका
प्रकाशनको.png,प्रकाशनको
हुनेछ.png,हुनेछ
णू.png,णू
पृष्ठभूमि.png,पृष्ठभूमि
विकास-सम्बन्धी.png,विकास-सम्बन्धी
भर्खरै.png,भर्खरै
ढे.png,ढे
दः.png,दः
१६६८.png,१६६८
बेला.png,बेला
केन्द्रद्वारा.png,केन्द्रद्वारा
च.png,च
निमित्त.png,निमित्त
ङि.png,ङि
विकास.png,विकास
जु.png,जु
गः.png,गः
रै.png,रै
भी.png,भी
१६८७.png,१६८७
बू.png,बू
सर्वेक्षण.png,सर्वेक्षण
स्पष्टरूपले.png,स्पष्टरूपले
सामाजिक.png,सामाजिक
नयाँ.png,नयाँ
लेखहरू.png,लेखहरू
घौ.png,घौ
अनुसार.png,अनुसार
क्षि.png,क्षि
ची.png,ची
एउटा.png,एउटा
नः.png,नः
रचना.png,रचना
सबै.png,सबै
क्षे.png,क्षे
दर.png,दर
गैरहेको.png,गैरहेको
संख्या.png,संख्या
मो.png,मो
ई.png,ई
जानकारी.png,जानकारी
गरेकोमा.png,गरेकोमा
खू.png,खू
भि.png,भि
जं.png,जं
ञी.png,ञी
प्रतिवेदनले.png,प्रतिवेदनले
सैनिकहरुको.png,सैनिकहरुको
गत.png,गत
तीन.png,तीन
तिनीहरूले.png,तिनीहरूले
गर्दछौं.png,गर्दछौं
खै.png,खै
ठै.png,ठै
नी.png,नी
जनसंख्या.png,जनसंख्या
समूह.png,समूह
तथा.png,तथा
तुलना.png,तुलना
छन् ।.png,छन् ।
चि.png,चि
जी.png,जी
मै.png,मै
प्रतिशतले.png,प्रतिशतले
सन्दर्भमा.png,सन्दर्भमा
परिचय.png,परिचय
निर्वाहक.png,निर्वाहक
बसाई.png,बसाई
ढौ.png,ढौ
विश्वविद्यालय.png,विश्वविद्यालय
हा.png,हा
गरेका.png,गरेका
षा.png,षा
प्रभावित.png,प्रभावित
खा.png,खा
ढः.png,ढः
दुई.png,दुई
१९६८.png,१९६८
२०२८.png,२०२८
अभिरुचिले.png,अभिरुचिले
ण.png,ण
ल.png,ल
वर्षको.png,वर्षको
लाभान्वित.png,लाभान्वित
छं.png,छं
तयार.png,तयार
देखिएको.png,देखिएको
औ.png,औ
परिवर्तनशिल.png,परिवर्तनशिल
घरमूली.png,घरमूली
हौ.png,हौ
प्रतिवेदन).png,प्रतिवेदन)
केन्द्रले.png,केन्द्रले
शहरिया.png,शहरिया
धा.png,धा
क्षः.png,क्षः
थि.png,थि
झी.png,झी
वस्तुहरू.png,वस्तुहरू
षं.png,षं
धः.png,धः
समाजमा.png,समाजमा
त्रुटिपूर्ण.png,त्रुटिपूर्ण
निकै.png,निकै
जरूरत.png,जरूरत
प्रचलित.png,प्रचलित
त्यस.png,त्यस
छो.png,छो
पः.png,पः
ञे.png,ञे
हुनगयो.png,हुनगयो
ञु.png,ञु
महिलाहरुको.png,महिलाहरुको
लेख.png,लेख
अर्थ-मूल्यांकन.png,अर्थ-मूल्यांकन
तथ्यांकलाई.png,तथ्यांकलाई
य.png,य
श्री.png,श्री
घटनाले.png,घटनाले
द्वारा.png,द्वारा
था.png,था
निश्चित.png,निश्चित
सामग्रीहरुबाट.png,सामग्रीहरुबाट
त्रो.png,त्रो
स्वास्थ्य .png,स्वास्थ्य 
परियोजनाको.png,परियोजनाको
आफूले.png,आफूले
ङे.png,ङे
देखिनु.png,देखिनु
सम्झौताको.png,सम्झौताको
पनि.png,पनि
जीवनमा.png,जीवनमा
बो.png,बो
मर्यादा.png,मर्यादा
धी.png,धी
सजिलो.png,सजिलो
ऐ.png,ऐ
भर.png,भर
महिलाको.png,महिलाको
अवलोकन.png,अवलोकन
एकेनासे.png,एकेनासे
अधिराज्यनारका.png,अधिराज्यनारका
लामो.png,लामो
वि.png,वि
कु.png,कु
सिध्याएर.png,सिध्याएर
सलमा.png,सलमा
बड़ो.png,बड़ो
सामा.png,सामा
भिन्दा भिन्दै.png,भिन्दा भिन्दै
लगाईएको.png,लगाईएको
गु.png,गु
ला.png,ला
णं.png,णं
किसिमको.png,किसिमको
गै.png,गै
सहभागिताको.png,सहभागिताको
रूपले.png,रूपले
चरणको.png,चरणको
भै.png,भै
सम्मको.png,सम्मको
डै.png,डै
सेन्टर).png,सेन्टर)
हे.png,हे
साल.png,साल
टे.png,टे
उठाएको.png,उठाएको
भ.png,भ
अवधिको.png,अवधिको
झं.png,झं
बन्न.png,बन्न
केलाउँदै.png,केलाउँदै
शरीर.png,शरीर
टू.png,टू
राजनैतिक.png,राजनैतिक
पल्ट.png,पल्ट
पर्नेछ.png,पर्नेछ
साकार.png,साकार
ल्याउने.png,ल्याउने
"सेप्टेम्बर,.png","सेप्टेम्बर,"
विवरण.png,विवरण
देखिन्छ .png,देखिन्छ 
गौ.png,गौ
यसकारण.png,यसकारण
वर्ष.png,वर्ष
अहिले.png,अहिले
थो.png,थो
रुघाखोकिको.png,रुघाखोकिको
हु.png,हु
समानता.png,समानता
काम.png,काम
लक्ष्य.png,लक्ष्य
मु.png,मु
ड.png,ड
परम्परा-.png,परम्परा-
छै.png,छै
बी.png,बी
अमेरिकी.png,अमेरिकी
सु.png,सु
ऊ.png,ऊ
वे.png,वे
झा.png,झा
पहिले.png,पहिले
ह.png,ह
प्रयत्न.png,प्रयत्न
सी.png,सी
फल.png,फल
क्षै.png,क्षै
रि.png,रि
पारिएको.png,पारिएको
पार्न.png,पार्न
थ.png,थ
नमूना.png,नमूना
सम्मिलित.png,सम्मिलित
आर्थिक.png,आर्थिक
अध्ययनहरूका.png,अध्ययनहरूका
ने.png,ने
टि.png,टि
प्रमुख.png,प्रमुख
सुश्री.png,सुश्री
अ.png,अ
परिवार.png,परिवार
जे.png,जे
ङा.png,ङा
मौ.png,मौ
परम्परागत.png,परम्परागत
माथि.png,माथि
सम्बन्धी.png,सम्बन्धी
धं.png,धं
प्रष्ट.png,प्रष्ट
फी.png,फी
भूमि.png,भूमि
षी.png,षी
रं.png,रं
कर्या.png,कर्या
अध्ययनहरू.png,अध्ययनहरू
घ.png,घ
टी.png,टी
हटाउन.png,हटाउन
मन्ने.png,मन्ने
समय.png,समय
बं.png,बं
आंकडाहरू.png,आंकडाहरू
सुधार्नु.png,सुधार्नु
भएको.png,भएको
देश.png,देश
मानव-शास्त्र-सम्बन्धी.png,मानव-शास्त्र-सम्बन्धी
शी.png,शी
(भेरिएवल्स).png,(भेरिएवल्स)
जो.png,जो
झू.png,झू
विद्यमान.png,विद्यमान
रुपमा.png,रुपमा
वितरण.png,वितरण
णः.png,णः
प्राप्त.png,प्राप्त
घं.png,घं
समुदायका.png,समुदायका
उद्देश्य.png,उद्देश्य
सम्ममा.png,सम्ममा
छापने.png,छापने
प्रयत्नहरूका.png,प्रयत्नहरूका
ज्ञा.png,ज्ञा
णु.png,णु
त्रि.png,त्रि
प्रविधि.png,प्रविधि
लेखिकाले.png,लेखिकाले
पुऱ्याउने.png,पुऱ्याउने
अनुसारको.png,अनुसारको
सम्पन्न.png,सम्पन्न
पुग्यो.png,पुग्यो
प्रतिनिधि.png,प्रतिनिधि
श्रोत.png,श्रोत
पी.png,पी
तहका.png,तहका
खु.png,खु
स.png,स
कै.png,कै
माध्यमबाट.png,माध्यमबाट
षः.png,षः
गोर्खाली.png,गोर्खाली
(जेनरलाइजेशन).png,(जेनरलाइजेशन)
दु.png,दु
देखाए.png,देखाए
कू.png,कू
गाउँमा.png,गाउँमा
खड़ा.png,खड़ा
पुऱ्याउन.png,पुऱ्याउन
लु.png,लु
संचालित.png,संचालित
समुदायहरूमा.png,समुदायहरूमा
त्र.png,त्र
"(केसाकार,.png","(केसाकार,"
क्रमिक.png,क्रमिक
परिवारका.png,परिवारका
डी.png,डी
खण्ड.png,खण्ड
मी.png,मी
गं.png,गं
वि.प्र..png,वि.प्र.
घे.png,घे
तिनवटा.png,तिनवटा
बढेर.png,बढेर
से.png,से
मार्ग.png,मार्ग
५.png,५
बनोटहरू.png,बनोटहरू
आकर्षणहरू.png,आकर्षणहरू
व्यापक.png,व्यापक
यथेष्ट.png,यथेष्ट
हामीलाई.png,हामीलाई
त्रा.png,त्रा
पं.png,पं
डं.png,डं
ग.png,ग
षौ.png,षौ
तर.png,तर
समावेश.png,समावेश
का.png,का
श.png,श
ऋ.png,ऋ
निकालिरहेका.png,निकालिरहेका
ञि.png,ञि
अध्ययन.png,अध्ययन
एकै.png,एकै
लः.png,लः
हर्षसाथ.png,हर्षसाथ
स्थानीयकरण.png,स्थानीयकरण
झि.png,झि
या.png,या
जीवन.png,जीवन
विश्लेषण.png,विश्लेषण
भए.png,भए
दिनका.png,दिनका
ठू.png,ठू
रकम.png,रकम
छी.png,छी
बढेको.png,बढेको
यू.png,यू
महिलाहरूको.png,महिलाहरूको
दशकको.png,दशकको
अन्तीनहित.png,अन्तीनहित
खपतको.png,खपतको
निक्कै.png,निक्कै
जस्तो.png,जस्तो
विद्यालयले.png,विद्यालयले
मुलुकहरूको.png,मुलुकहरूको
ठः.png,ठः
यस्ले.png,यस्ले
