FILENAME,IDENTITY
राम्ररी.png,राम्ररी
वि.png,वि
ठि.png,ठि
दं.png,दं
क्षेत्रका.png,क्षेत्रका
(मोडेल).png,(मोडेल)
छापन.png,छापन
लिंग.png,लिंग
अ.png,अ
तौ.png,तौ
फलस्वरूप.png,फलस्वरूप
गं.png,गं
७.png,७
तथ्यहरूको.png,तथ्यहरूको
गर्ने.png,गर्ने
उक्त.png,उक्त
ली.png,ली
दर.png,दर
घरायसी.png,घरायसी
बढी.png,बढी
(सेक्टर).png,(सेक्टर)
देखिएको.png,देखिएको
पुरा.png,पुरा
रहने.png,रहने
६.png,६
देखिन्छ.png,देखिन्छ
व्यवस्थाबाट.png,व्यवस्थाबाट
अति.png,अति
भः.png,भः
टौ.png,टौ
रचना.png,रचना
जनगणना.png,जनगणना
स्थानीयकरण.png,स्थानीयकरण
प्रयोगात्मक.png,प्रयोगात्मक
वास्तविक.png,वास्तविक
विश्व.png,विश्व
प्रमुख.png,प्रमुख
खेल्न.png,खेल्न
थं.png,थं
पु.png,पु
टै.png,टै
प्रतिवेदन).png,प्रतिवेदन)
पक्षका.png,पक्षका
ज्ञः.png,ज्ञः
ढी.png,ढी
स्वास्थ्य.png,स्वास्थ्य
का.png,का
विषयक.png,विषयक
टोलीका.png,टोलीका
किसिमका.png,किसिमका
सम्यतु.png,सम्यतु
ढि.png,ढि
ढै.png,ढै
सहभागिताको.png,सहभागिताको
सा.png,सा
जातीय.png,जातीय
प्रभावशालि.png,प्रभावशालि
देखाए.png,देखाए
सैनिकहरुको.png,सैनिकहरुको
लु.png,लु
भि.png,भि
बजार.png,बजार
विशिष्ट.png,विशिष्ट
थो.png,थो
ञ.png,ञ
प्रारम्भिक.png,प्रारम्भिक
प्रतिनिधि.png,प्रतिनिधि
यः.png,यः
ज्ञी.png,ज्ञी
अपर्याप्त.png,अपर्याप्त
पी.png,पी
गि.png,गि
भएर.png,भएर
लेखहरू.png,लेखहरू
देखाउंछ.png,देखाउंछ
निकायहरूको.png,निकायहरूको
भी.png,भी
कुनै.png,कुनै
क्षेत्र.png,क्षेत्र
माध्यमको.png,माध्यमको
"लहर,.png","लहर,"
छैन.png,छैन
त्यसैगरी.png,त्यसैगरी
सम्झौताको.png,सम्झौताको
नु.png,नु
सक्नु.png,सक्नु
आर्थिक.png,आर्थिक
डं.png,डं
तु.png,तु
वस्तुहरुको.png,वस्तुहरुको
सबैभन्दा.png,सबैभन्दा
थौ.png,थौ
ठं.png,ठं
दु.png,दु
ठु.png,ठु
प्रयास.png,प्रयास
अः.png,अः
साथमा.png,साथमा
णै.png,णै
त्यस.png,त्यस
मागहरूको.png,मागहरूको
बनोटहरू.png,बनोटहरू
सन्दर्भमा.png,सन्दर्भमा
गा.png,गा
प्रयोजन.png,प्रयोजन
दिन्छन.png,दिन्छन
सामग्रीहरुबाट.png,सामग्रीहरुबाट
२.png,२
धेरै.png,धेरै
औ.png,औ
हालै.png,हालै
तन्त्रको.png,तन्त्रको
लेख.png,लेख
बौ.png,बौ
कर्या.png,कर्या
ञं.png,ञं
संकलन.png,संकलन
जाने.png,जाने
छे.png,छे
जीवनमा.png,जीवनमा
हा.png,हा
ल.png,ल
ठः.png,ठः
वर्षाका.png,वर्षाका
परियो.png,परियो
आकर्षणहरू.png,आकर्षणहरू
अं.png,अं
भयो.png,भयो
ग.png,ग
खं.png,खं
मे.png,मे
ङः.png,ङः
तथा.png,तथा
सहयोगी.png,सहयोगी
(गाउँ.png,(गाउँ
पै.png,पै
नेपालमा.png,नेपालमा
विशेष.png,विशेष
रूपले.png,रूपले
खालि.png,खालि
संग.png,संग
जनगणनाहरू.png,जनगणनाहरू
सिमित.png,सिमित
हास.png,हास
योजनालाई.png,योजनालाई
प.png,प
समूहको.png,समूहको
खड़ा.png,खड़ा
गरिन्छ.png,गरिन्छ
नयाँ.png,नयाँ
फु.png,फु
तथ्यांकहरू.png,तथ्यांकहरू
निक्कै.png,निक्कै
हुनेछ.png,हुनेछ
बं.png,बं
पुरुष-महिलाको.png,पुरुष-महिलाको
ज्ञो.png,ज्ञो
उद्देश्य.png,उद्देश्य
पछिका.png,पछिका
सबै.png,सबै
गर्न.png,गर्न
झि.png,झि
यी.png,यी
जो.png,जो
रकम.png,रकम
दि.png,दि
टू.png,टू
झू.png,झू
सरकार.png,सरकार
प्रयत्न.png,प्रयत्न
परिभाषित.png,परिभाषित
निर्देशक.png,निर्देशक
भु.png,भु
ढू.png,ढू
धे.png,धे
चुनौतीपूर्ण.png,चुनौतीपूर्ण
स्वास्थ्य .png,स्वास्थ्य 
परिकल्पना.png,परिकल्पना
सजिलो.png,सजिलो
पल्ट.png,पल्ट
खे.png,खे
विकासका.png,विकासका
धा.png,धा
घटेर.png,घटेर
हु.png,हु
गोर्खालीहरुको.png,गोर्खालीहरुको
नू.png,नू
गर्दछौं.png,गर्दछौं
फौ.png,फौ
सम्ममा.png,सम्ममा
की.png,की
घू.png,घू
मूल्यांकनमा.png,मूल्यांकनमा
रः.png,रः
फर्केका.png,फर्केका
नमिल्ने.png,नमिल्ने
खदिलो.png,खदिलो
प्रदान.png,प्रदान
घटनाले.png,घटनाले
शो.png,शो
छिटै.png,छिटै
छै.png,छै
षै.png,षै
ह.png,ह
फेरि.png,फेरि
हः.png,हः
आठवटा.png,आठवटा
मी.png,मी
शः.png,शः
राजनैतिक.png,राजनैतिक
सामाजिक.png,सामाजिक
अध्ययनहरूका.png,अध्ययनहरूका
काम.png,काम
अब.png,अब
पनि.png,पनि
दुई.png,दुई
आकांक्षा.png,आकांक्षा
दिन्छन्.png,दिन्छन्
शहरीया.png,शहरीया
तथ्यांकलाई.png,तथ्यांकलाई
जति.png,जति
सांसिक.png,सांसिक
आयको.png,आयको
गैरहेको.png,गैरहेको
गणना.png,गणना
ज्ञे.png,ज्ञे
सुनियोजित.png,सुनियोजित
सु.png,सु
सक्षम.png,सक्षम
सर्वेक्षण.png,सर्वेक्षण
ञो.png,ञो
खु.png,खु
स्पष्टरूपले.png,स्पष्टरूपले
ङै.png,ङै
ता.png,ता
पटक.png,पटक
यसकारण.png,यसकारण
वं.png,वं
जब.png,जब
सांखिक.png,सांखिक
केन्द्रीत.png,केन्द्रीत
सै.png,सै
नै.png,नै
प्रशासन.png,प्रशासन
सम्भवतः.png,सम्भवतः
आठ.png,आठ
त्रं.png,त्रं
गौ.png,गौ
झ.png,झ
कु.png,कु
मात्रामा.png,मात्रामा
मर्यादा.png,मर्यादा
मै.png,मै
रे.png,रे
सुश्री.png,सुश्री
खः.png,खः
डै.png,डै
झु.png,झु
४८.png,४८
१.png,१
मा.png,मा
त्रिभुवन.png,त्रिभुवन
महिलामा.png,महिलामा
जस्ले.png,जस्ले
मसौदा.png,मसौदा
एकैसाथ.png,एकैसाथ
अभियानबाट.png,अभियानबाट
फल.png,फल
एकेनासे.png,एकेनासे
रू.png,रू
षौ.png,षौ
साथै.png,साथै
मध्येको.png,मध्येको
समुहहरूका.png,समुहहरूका
स.png,स
स्पष्ट.png,स्पष्ट
परिधिका.png,परिधिका
झै.png,झै
अलग.png,अलग
यसरी.png,यसरी
योजनाको.png,योजनाको
ही.png,ही
ढो.png,ढो
महिलाको.png,महिलाको
पौ.png,पौ
ऐ.png,ऐ
परिप्रेक्षमा.png,परिप्रेक्षमा
परम्परा-.png,परम्परा-
तिनवटा.png,तिनवटा
तं.png,तं
नो.png,नो
चरणमा.png,चरणमा
ञी.png,ञी
हुँदैन.png,हुँदैन
बा.png,बा
उपयुक्तता.png,उपयुक्तता
सुधार्ने.png,सुधार्ने
(भेरिएवल्स).png,(भेरिएवल्स)
झं.png,झं
शहर).png,शहर)
बाहिर.png,बाहिर
विषयमा.png,विषयमा
समूह.png,समूह
कि.png,कि
ना.png,ना
पारिवारिक.png,पारिवारिक
समालोचनात्मक.png,समालोचनात्मक
थै.png,थै
पात्र.png,पात्र
छन् ।.png,छन् ।
संस्करण.png,संस्करण
तरिकाको.png,तरिकाको
बेला.png,बेला
तू.png,तू
प्रत्येक.png,प्रत्येक
ज्ञू.png,ज्ञू
तिनीहरूले.png,तिनीहरूले
५.png,५
दोष.png,दोष
मु.png,मु
डो.png,डो
भर्खरै.png,भर्खरै
स्पष्टसित.png,स्पष्टसित
दः.png,दः
फो.png,फो
लाई.png,लाई
गी.png,गी
कार्य.png,कार्य
दुवै.png,दुवै
मूल्यांकनका.png,मूल्यांकनका
बो.png,बो
गरिवीको.png,गरिवीको
जरूरत.png,जरूरत
चरणको.png,चरणको
बारे.png,बारे
सरी.png,सरी
पार्ने.png,पार्ने
क्ष.png,क्ष
बढेर.png,बढेर
वर्गीकरण.png,वर्गीकरण
अभिलेखालय.png,अभिलेखालय
फे.png,फे
अवधिमा.png,अवधिमा
निश्चित.png,निश्चित
त.png,त
य.png,य
कै.png,कै
प्रयत्नहरूका.png,प्रयत्नहरूका
नेपालको.png,नेपालको
पर्दछ.png,पर्दछ
खोज.png,खोज
डी.png,डी
सम्बन्ध.png,सम्बन्ध
अनुपात.png,अनुपात
छ .png,छ 
तः.png,तः
वृद्धिको.png,वृद्धिको
तै.png,तै
चं.png,चं
पू.png,पू
सहयोग.png,सहयोग
त्यो.png,त्यो
चि.png,चि
बिक्री .png,बिक्री 
प्राप्तिका.png,प्राप्तिका
भौ.png,भौ
बिक्री-प्रयोजन.png,बिक्री-प्रयोजन
समिस्तगत.png,समिस्तगत
समेत.png,समेत
फल .png,फल 
उठाएको.png,उठाएको
तलास.png,तलास
"सेप्टेम्बर,.png","सेप्टेम्बर,"
४.png,४
ङो.png,ङो
सुधारहरू.png,सुधारहरू
प्रति.png,प्रति
भू.png,भू
घी.png,घी
फ.png,फ
पारिएको.png,पारिएको
व्यवहारिक.png,व्यवहारिक
क्षु.png,क्षु
सहायता.png,सहायता
ले.png,ले
सम्पन्न.png,सम्पन्न
टं.png,टं
भाषामा.png,भाषामा
सारांश.png,सारांश
रै.png,रै
बुझ्न.png,बुझ्न
च.png,च
अझै.png,अझै
णो.png,णो
तर्फ.png,तर्फ
आभारी.png,आभारी
यै.png,यै
नियोगका.png,नियोगका
जिक.png,जिक
कठिन.png,कठिन
ढा.png,ढा
ण.png,ण
दौ.png,दौ
गत.png,गत
भन्ने.png,भन्ने
परिचय.png,परिचय
झी.png,झी
डौ.png,डौ
ज्वरोबाट.png,ज्वरोबाट
करिब.png,करिब
छ।.png,छ।
व्यापक.png,व्यापक
उपेक्षा.png,उपेक्षा
क्रमले.png,क्रमले
बिक्री.png,बिक्री
स्तरका.png,स्तरका
रुपमा.png,रुपमा
नेपालका.png,नेपालका
यस्ले.png,यस्ले
प्रवृचिहरु.png,प्रवृचिहरु
लः.png,लः
सुक्ष्म.png,सुक्ष्म
ङौ.png,ङौ
ग्रामीण.png,ग्रामीण
खपत.png,खपत
चा.png,चा
बै.png,बै
भूमिक.png,भूमिक
समुदायहरूमा.png,समुदायहरूमा
त्रू.png,त्रू
सलमा.png,सलमा
एउटा.png,एउटा
जु.png,जु
भूमि.png,भूमि
स्तर.png,स्तर
सम्मकै.png,सम्मकै
भं.png,भं
समावेश.png,समावेश
साल.png,साल
होशियार.png,होशियार
क्षै.png,क्षै
शहरिया.png,शहरिया
धै.png,धै
दे.png,दे
जनाको.png,जनाको
परिवारको.png,परिवारको
ला.png,ला
ज्ञि.png,ज्ञि
वि.प्र..png,वि.प्र.
घौ.png,घौ
ढः.png,ढः
कार्यकारी.png,कार्यकारी
अनुसन्धान.png,अनुसन्धान
भित्र.png,भित्र
णे.png,णे
लो.png,लो
साकार.png,साकार
वितरण.png,वितरण
घे.png,घे
ञु.png,ञु
घं.png,घं
जनसंख्या.png,जनसंख्या
मसौदाको.png,मसौदाको
तथ्यांक.png,तथ्यांक
ठ.png,ठ
देनहरु.png,देनहरु
शक्ति.png,शक्ति
सिध्याएर.png,सिध्याएर
अलि.png,अलि
पं.png,पं
इ.png,इ
जि.png,जि
तहका.png,तहका
किसिमको.png,किसिमको
पाँचजना.png,पाँचजना
के.png,के
लू.png,लू
अवधिको.png,अवधिको
लक्ष्य.png,लक्ष्य
हामीलाई.png,हामीलाई
सित.png,सित
अमेरिकी.png,अमेरिकी
ढ.png,ढ
यस्ता.png,यस्ता
त्र.png,त्र
एक्कासी.png,एक्कासी
महिलाहरूद्वारा.png,महिलाहरूद्वारा
सम्वत्.png,सम्वत्
ञि.png,ञि
"भूमिका,.png","भूमिका,"
छा.png,छा
तो.png,तो
गराउनु.png,गराउनु
उपयुक्त.png,उपयुक्त
घो.png,घो
ङी.png,ङी
रुघा-खोकीको.png,रुघा-खोकीको
योजना.png,योजना
विदेशमा.png,विदेशमा
वास्तवमा.png,वास्तवमा
लि.png,लि
परियोजना.png,परियोजना
अध्ययन.png,अध्ययन
गरिएको.png,गरिएको
ठै.png,ठै
अभाव.png,अभाव
छू.png,छू
हुनेछन्.png,हुनेछन्
जः.png,जः
वास्तविकता.png,वास्तविकता
प्रचलित.png,प्रचलित
थि.png,थि
ठो.png,ठो
गः.png,गः
विक्रीका.png,विक्रीका
पुरुष-महिला.png,पुरुष-महिला
गहन.png,गहन
यु.png,यु
भिन्दा भिन्दै.png,भिन्दा भिन्दै
अध्ययनहरू.png,अध्ययनहरू
गो.png,गो
जम्माजम्मी.png,जम्माजम्मी
डः.png,डः
क्षो.png,क्षो
बाट.png,बाट
सफल.png,सफल
देखिनु.png,देखिनु
संख्या.png,संख्या
जनगणनाले.png,जनगणनाले
अहिलेको.png,अहिलेको
ति.png,ति
तथ्य.png,तथ्य
आचार्यले.png,आचार्यले
देखि.png,देखि
त्यसो.png,त्यसो
उहाँले.png,उहाँले
लौ.png,लौ
बारेको.png,बारेको
संस्थाहरू.png,संस्थाहरू
है.png,है
टो.png,टो
वौ.png,वौ
चो.png,चो
अनुचित.png,अनुचित
क्षं.png,क्षं
खू.png,खू
हो.png,हो
ती.png,ती
सदस्यहरूको.png,सदस्यहरूको
मानव-शास्त्रीहरूका.png,मानव-शास्त्रीहरूका
प्रतिवेदनले.png,प्रतिवेदनले
अध्ययनको.png,अध्ययनको
शै.png,शै
ठे.png,ठे
ज्ञं.png,ज्ञं
तुलना.png,तुलना
निकै.png,निकै
पुगेको.png,पुगेको
निष्कर्शमा.png,निष्कर्शमा
केन्द्र.png,केन्द्र
शु.png,शु
धौ.png,धौ
श.png,श
षि.png,षि
बारेमा.png,बारेमा
विकास-सम्बन्धी.png,विकास-सम्बन्धी
विवरण.png,विवरण
केश.png,केश
हं.png,हं
प्रकोप.png,प्रकोप
संकेत.png,संकेत
थ.png,थ
हुनगयो.png,हुनगयो
सूचकहरुको.png,सूचकहरुको
मुख्यतया.png,मुख्यतया
(डिस्सिप्लिनरी).png,(डिस्सिप्लिनरी)
फी.png,फी
नि.png,नि
योगदानको.png,योगदानको
सः.png,सः
परिवार.png,परिवार
क्षि.png,क्षि
शं.png,शं
णं.png,णं
ङे.png,ङे
बहु-.png,बहु-
उनिहरुलाई.png,उनिहरुलाई
समानता.png,समानता
बसाई.png,बसाई
परियोजनाको.png,परियोजनाको
जौ.png,जौ
नौ.png,नौ
तथ्यांकहरूको.png,तथ्यांकहरूको
वर्षको.png,वर्षको
बन्न.png,बन्न
औल्याउंदछन्.png,औल्याउंदछन्
नः.png,नः
देखाएको.png,देखाएको
गरेर.png,गरेर
फै.png,फै
आक्रमक.png,आक्रमक
बढ्दै.png,बढ्दै
सम्बन्धी.png,सम्बन्धी
ञू.png,ञू
लामो.png,लामो
मि.png,मि
वू.png,वू
अनुसारको.png,अनुसारको
आश्चर्य.png,आश्चर्य
बढ्दो.png,बढ्दो
धू.png,धू
भूमिका.png,भूमिका
ढे.png,ढे
अवलोकन.png,अवलोकन
औपचारिक.png,औपचारिक
महायुद्धमा.png,महायुद्धमा
समस्या.png,समस्या
 पु-याउनका.png, पु-याउनका
विश्लेषण.png,विश्लेषण
परिमाणात्मक.png,परिमाणात्मक
प्रकाशनहरू.png,प्रकाशनहरू
हेर्दा.png,हेर्दा
उनिहरूको.png,उनिहरूको
जू.png,जू
ढं.png,ढं
पुष्टि.png,पुष्टि
घः.png,घः
कुरा.png,कुरा
ए.png,ए
डि.png,डि
णः.png,णः
प्रकाशनको.png,प्रकाशनको
धी.png,धी
रा.png,रा
लागि.png,लागि
भै.png,भै
त्रौ.png,त्रौ
नेपाली.png,नेपाली
जातिको.png,जातिको
सक्नेछ.png,सक्नेछ
निस्सा.png,निस्सा
बढाउने.png,बढाउने
एकै.png,एकै
टे.png,टे
सामंजस्य.png,सामंजस्य
मू.png,मू
भने.png,भने
धन्यवादको.png,धन्यवादको
ढौ.png,ढौ
अपनाउनु.png,अपनाउनु
स्थानीय.png,स्थानीय
देश.png,देश
भविष्यमा.png,भविष्यमा
(Trends).png,(Trends)
घरमूली.png,घरमूली
गाउँभित्रका.png,गाउँभित्रका
चौ.png,चौ
स्वास्नी.png,स्वास्नी
जनाइए.png,जनाइए
सू.png,सू
मुख्य.png,मुख्य
ढु.png,ढु
थु.png,थु
बराबर.png,बराबर
झो.png,झो
चे.png,चे
सौ.png,सौ
उल्लेखनीय.png,उल्लेखनीय
हुन्छ.png,हुन्छ
पो.png,पो
आगामी.png,आगामी
छौं.png,छौं
व्यक्ति.png,व्यक्ति
हालको.png,हालको
सुधार.png,सुधार
बारेका.png,बारेका
थाह.png,थाह
छी.png,छी
क्षे.png,क्षे
को.png,को
षू.png,षू
विश्वविद्यालयले.png,विश्वविद्यालयले
विस्तृत.png,विस्तृत
चै.png,चै
बृहत्.png,बृहत्
विद्यालयले.png,विद्यालयले
खा.png,खा
६६.png,६६
अभियान.png,अभियान
मृत्यु.png,मृत्यु
वै.png,वै
बू.png,बू
डकुमेन्टेशन.png,डकुमेन्टेशन
स्वावलम्बता.png,स्वावलम्बता
प्रभावित.png,प्रभावित
कौ.png,कौ
मापदण्डको.png,मापदण्डको
शिर्षकहरु.png,शिर्षकहरु
सम्म.png,सम्म
आफूले.png,आफूले
अभियानको.png,अभियानको
१६८७.png,१६८७
भएको छ ।.png,भएको छ ।
णौ.png,णौ
जांचबुझको.png,जांचबुझको
ई.png,ई
मः.png,मः
विकाशको.png,विकाशको
ष.png,ष
लगाईएको.png,लगाईएको
छ.png,छ
यं.png,यं
फं.png,फं
उदाहरणका.png,उदाहरणका
वर्ष-.png,वर्ष-
परम्परागत.png,परम्परागत
ऋ.png,ऋ
विषयहरूलाई.png,विषयहरूलाई
पे.png,पे
गराउन.png,गराउन
ब.png,ब
अगुवा.png,अगुवा
उचित.png,उचित
दो.png,दो
शरीर.png,शरीर
व्यवस्थाले.png,व्यवस्थाले
अध्ययनहरूको.png,अध्ययनहरूको
ज्ञु.png,ज्ञु
रो.png,रो
संशोधन.png,संशोधन
मध्ये.png,मध्ये
यथेष्ट.png,यथेष्ट
ज.png,ज
डे.png,डे
धि.png,धि
कं.png,कं
विद्यमान.png,विद्यमान
बु.png,बु
(जेनरलाइजेशन).png,(जेनरलाइजेशन)
अन्तीनहित.png,अन्तीनहित
जाँचबुझको.png,जाँचबुझको
उपायहरू.png,उपायहरू
यस.png,यस
यस्तो.png,यस्तो
राम.png,राम
छः.png,छः
महत्वपूर्ण.png,महत्वपूर्ण
पर्नेछ.png,पर्नेछ
छिट्टै.png,छिट्टै
धेरैजसो.png,धेरैजसो
ङि.png,ङि
धारणालाई.png,धारणालाई
उत्पादन.png,उत्पादन
निमित्त.png,निमित्त
ची.png,ची
परिपाटी.png,परिपाटी
केहि.png,केहि
३.png,३
पुरुषको.png,पुरुषको
मुलुकमा.png,मुलुकमा
विधवा.png,विधवा
षा.png,षा
द.png,द
भेद.png,भेद
मार्ग.png,मार्ग
घा.png,घा
जा.png,जा
कति.png,कति
उपयोगका.png,उपयोगका
केलाउँदै.png,केलाउँदै
णी.png,णी
छि.png,छि
अनुसार.png,अनुसार
देखिन्छ .png,देखिन्छ 
स्थितिमा.png,स्थितिमा
पहिले.png,पहिले
वः.png,वः
सम्पत्तिको.png,सम्पत्तिको
ख.png,ख
वा.png,वा
यू.एस..png,यू.एस.
विधिहरू.png,विधिहरू
महिलाहरुको.png,महिलाहरुको
प्रस्तुत.png,प्रस्तुत
खि.png,खि
पि.png,पि
धो.png,धो
यि.png,यि
व्यक्तिहरूलाई.png,व्यक्तिहरूलाई
खी.png,खी
सन्चालन.png,सन्चालन
क्रमिक.png,क्रमिक
सि.png,सि
त्यही.png,त्यही
निष्कर्षहरू.png,निष्कर्षहरू
गरिएका.png,गरिएका
षः.png,षः
जं.png,जं
त्रुटी.png,त्रुटी
उपलब्ध.png,उपलब्ध
निर्मित.png,निर्मित
५ को.png,५ को
आशा.png,आशा
अनुसन्धानकर्ताले.png,अनुसन्धानकर्ताले
हि.png,हि
९.png,९
सुधारिएको.png,सुधारिएको
तत्त्वहरूको.png,तत्त्वहरूको
मुलुकहरूको.png,मुलुकहरूको
तेस्रो.png,तेस्रो
ङ.png,ङ
सम्पूर्ण.png,सम्पूर्ण
खै.png,खै
हाम्रो.png,हाम्रो
भर.png,भर
गोर्खाली.png,गोर्खाली
ठा.png,ठा
था.png,था
परिवाहरुमा.png,परिवाहरुमा
स्थान.png,स्थान
विकास.png,विकास
माध्यम.png,माध्यम
ज्ञौ.png,ज्ञौ
ने.png,ने
निम्ति.png,निम्ति
अभिरुचिले.png,अभिरुचिले
उपलब्धीहरूले.png,उपलब्धीहरूले
द्वारा.png,द्वारा
सम्मको.png,सम्मको
विषयलाई.png,विषयलाई
१:१.png,१:१
कम.png,कम
भएकोले.png,भएकोले
रुप.png,रुप
छोटो.png,छोटो
रुघाखोकिको.png,रुघाखोकिको
वृत्ति.png,वृत्ति
फा.png,फा
ते.png,ते
हटाउन.png,हटाउन
श्रोत.png,श्रोत
संयुक्त.png,संयुक्त
षं.png,षं
धं.png,धं
अझ.png,अझ
थः.png,थः
आउने.png,आउने
कू.png,कू
सँग.png,सँग
अहिले.png,अहिले
क्षौ.png,क्षौ
देशव्यापी.png,देशव्यापी
त्रः.png,त्रः
त्रा.png,त्रा
कः.png,कः
लेखिकाले.png,लेखिकाले
चुनौती.png,चुनौती
सी.png,सी
णु.png,णु
थी.png,थी
टी.png,टी
गरेका.png,गरेका
बीचमा.png,बीचमा
प्रत्येकलाई.png,प्रत्येकलाई
ङू.png,ङू
पुग्यो.png,पुग्यो
मौ.png,मौ
परियोजनालाई.png,परियोजनालाई
अनुपातमा.png,अनुपातमा
आंकडाहरू.png,आंकडाहरू
ङा.png,ङा
तथ्यले.png,तथ्यले
ङं.png,ङं
माथि.png,माथि
प्रकाशन.png,प्रकाशन
छं.png,छं
फि.png,फि
रौ.png,रौ
जस्तै.png,जस्तै
१०.png,१०
चेतना.png,चेतना
गतिविधिहरूको.png,गतिविधिहरूको
कानूनी.png,कानूनी
मान्यताहरुको.png,मान्यताहरुको
न.png,न
गर्नुको.png,गर्नुको
ञा.png,ञा
परिवारका.png,परिवारका
वस्तु.png,वस्तु
तरिकाहरूका.png,तरिकाहरूका
जस्तो .png,जस्तो 
एड.png,एड
छो.png,छो
भा.png,भा
मनुष्य.png,मनुष्य
शू.png,शू
शा.png,शा
रि.png,रि
बि.png,बि
वटा.png,वटा
मं.png,मं
से.png,से
डा.png,डा
केही.png,केही
वे.png,वे
निर्वाहक.png,निर्वाहक
परिवर्तनहरू.png,परिवर्तनहरू
तयार.png,तयार
फाइदा.png,फाइदा
ज्ञै.png,ज्ञै
विश्वका.png,विश्वका
चालु.png,चालु
णू.png,णू
अरु.png,अरु
उ.png,उ
अर्थ.png,अर्थ
छु.png,छु
क्षेत्रहरुबाट.png,क्षेत्रहरुबाट
यू.png,यू
थप.png,थप
वर्गीकरणबाट.png,वर्गीकरणबाट
२०२८.png,२०२८
गोविन्द.png,गोविन्द
लं.png,लं
शे.png,शे
धु.png,धु
केन्द्रद्वारा.png,केन्द्रद्वारा
प्रश्न.png,प्रश्न
खो.png,खो
जस्तो.png,जस्तो
आवृत्ति.png,आवृत्ति
जीवन.png,जीवन
षो.png,षो
क्षी.png,क्षी
अनुसन्धानकर्ताहरूको.png,अनुसन्धानकर्ताहरूको
परिपूर्तिका.png,परिपूर्तिका
निकालिरहेका.png,निकालिरहेका
टि.png,टि
ठौ.png,ठौ
ञौ.png,ञौ
सर्वेक्षणहरुले.png,सर्वेक्षणहरुले
चु.png,चु
भनी.png,भनी
स्तरहरू.png,स्तरहरू
पार्न.png,पार्न
त्रि.png,त्रि
सम्मिलित.png,सम्मिलित
घ.png,घ
षु.png,षु
डू.png,डू
हुनुका.png,हुनुका
सम्बन्धित.png,सम्बन्धित
राष्ट्रिय.png,राष्ट्रिय
दू.png,दू
पा.png,पा
डु.png,डु
जनजाती.png,जनजाती
शास्त्रीहरुले.png,शास्त्रीहरुले
तीन.png,तीन
प्रेसमा.png,प्रेसमा
कुल.png,कुल
शौ.png,शौ
(मनुष्य.png,(मनुष्य
चू.png,चू
महिलाहरूको.png,महिलाहरूको
दोस्रो.png,दोस्रो
कथा.png,कथा
त्री.png,त्री
टुक्राउँदा.png,टुक्राउँदा
संस्थागत.png,संस्थागत
तव.png,तव
वर्णनात्मक.png,वर्णनात्मक
प्रचूर.png,प्रचूर
ध.png,ध
झः.png,झः
शी.png,शी
घटेको.png,घटेको
अपनाउनु .png,अपनाउनु 
नं.png,नं
तापनि.png,तापनि
ज्ञा.png,ज्ञा
ञै.png,ञै
हालसालै.png,हालसालै
भागका.png,भागका
संचालित.png,संचालित
अर्थतन्त्रमा.png,अर्थतन्त्रमा
खपतको.png,खपतको
दृष्टिबाट.png,दृष्टिबाट
"(केसाकार,.png","(केसाकार,"
पठाएको.png,पठाएको
